# z rho mu P theta
241.548 2.388e-06 0 0 270
242.048 2.388e-06 0 0 270
242.048 2.61633e-06 0 0 270
242.548 2.61633e-06 0 0 270
242.548 2.84209e-06 0 0 270
243.048 2.84209e-06 0 0 270
243.048 3.06331e-06 0 0 270
243.548 3.06331e-06 0 0 270
243.548 3.27831e-06 0 0 270
244.048 3.27831e-06 0 0 270
244.048 3.48569e-06 0 0 270
244.548 3.48569e-06 0 0 270
244.548 3.68441e-06 0 0 270
245.048 3.68441e-06 0 0 270
245.048 3.87376e-06 0 0 270
245.548 3.87376e-06 0 0 270
245.548 4.05336e-06 0 0 270
246.048 4.05336e-06 0 0 270
246.048 4.2231e-06 0 0 270
246.548 4.2231e-06 0 0 270
246.548 4.38315e-06 0 0 270
247.048 4.38315e-06 0 0 270
247.048 4.53405e-06 0 0 270
247.548 4.53405e-06 0 0 270
247.548 4.67633e-06 0 0 270
248.048 4.67633e-06 0 0 270
248.048 4.81052e-06 0 0 270
248.548 4.81052e-06 0 0 270
248.548 4.93712e-06 0 0 270
249.048 4.93712e-06 0 0 270
249.048 5.05663e-06 0 0 270
249.548 5.05663e-06 0 0 270
249.548 5.16946e-06 0 0 270
250.048 5.16946e-06 0 0 270
250.048 5.27596e-06 0 0 270
250.548 5.27596e-06 0 0 270
250.548 5.37635e-06 0 0 270
251.048 5.37635e-06 0 0 270
251.048 5.47081e-06 0 0 270
251.548 5.47081e-06 0 0 270
251.548 5.5594e-06 0 0 270
252.048 5.5594e-06 0 0 270
252.048 5.64217e-06 0 0 270
252.548 5.64217e-06 0 0 270
252.548 5.7191e-06 0 0 270
253.048 5.7191e-06 0 0 270
253.048 5.79018e-06 0 0 270
253.548 5.79018e-06 0 0 270
253.548 5.85543e-06 0 0 270
254.048 5.85543e-06 0 0 270
254.048 5.91487e-06 0 0 270
254.548 5.91487e-06 0 0 270
254.548 5.9686e-06 0 0 270
255.048 5.9686e-06 0 0 270
255.048 6.01673e-06 0 0 270
255.548 6.01673e-06 0 0 270
255.548 6.05946e-06 0 0 270
256.048 6.05946e-06 0 0 270
256.048 6.09703e-06 0 0 270
256.548 6.09703e-06 0 0 270
256.548 6.12972e-06 0 0 270
257.048 6.12972e-06 0 0 270
257.048 6.15784e-06 0 0 270
257.548 6.15784e-06 0 0 270
257.548 6.18174e-06 0 0 270
258.048 6.18174e-06 0 0 270
258.048 6.20174e-06 0 0 270
258.548 6.20174e-06 0 0 270
258.548 6.2182e-06 0 0 270
259.048 6.2182e-06 0 0 270
259.048 6.23145e-06 0 0 270
259.548 6.23145e-06 0 0 270
259.548 6.24179e-06 0 0 270
260.048 6.24179e-06 0 0 270
260.048 6.2495e-06 0 0 270
260.548 6.2495e-06 0 0 270
260.548 6.25489e-06 0 0 270
261.048 6.25489e-06 0 0 270
261.048 6.2584e-06 0 0 270
261.548 6.2584e-06 0 0 270
261.548 6.26033e-06 0 0 270
262.048 6.26033e-06 0 0 270
262.048 6.26092e-06 0 0 270
262.548 6.26092e-06 0 0 270
262.548 6.26036e-06 0 0 270
263.048 6.26036e-06 0 0 270
263.048 6.25883e-06 0 0 270
263.548 6.25883e-06 0 0 270
263.548 6.25647e-06 0 0 270
264.048 6.25647e-06 0 0 270
264.048 6.2534e-06 0 0 270
264.548 6.2534e-06 0 0 270
264.548 6.25091e-06 0 0 270
265.048 6.25091e-06 0 0 270
265.048 6.24632e-06 0 0 270
265.548 6.24632e-06 0 0 270
265.548 6.24139e-06 0 0 270
266.048 6.24139e-06 0 0 270
266.048 6.23614e-06 0 0 270
266.548 6.23614e-06 0 0 270
266.548 6.2306e-06 0 0 270
267.048 6.2306e-06 0 0 270
267.048 6.2248e-06 0 0 270
267.548 6.2248e-06 0 0 270
267.548 6.21877e-06 0 0 270
268.048 6.21877e-06 0 0 270
268.048 6.21252e-06 0 0 270
268.548 6.21252e-06 0 0 270
268.548 6.2061e-06 0 0 270
269.048 6.2061e-06 0 0 270
269.048 6.19952e-06 0 0 270
269.548 6.19952e-06 0 0 270
269.548 6.1928e-06 0 0 270
270.048 6.1928e-06 0 0 270
270.048 6.18599e-06 0 0 270
270.548 6.18599e-06 0 0 270
270.548 6.1791e-06 0 0 270
271.048 6.1791e-06 0 0 270
271.048 6.17216e-06 0 0 270
271.548 6.17216e-06 0 0 270
271.548 6.1652e-06 0 0 270
272.048 6.1652e-06 0 0 270
272.048 6.15824e-06 0 0 270
272.548 6.15824e-06 0 0 270
272.548 6.1513e-06 0 0 270
273.048 6.1513e-06 0 0 270
273.048 6.14442e-06 0 0 270
273.548 6.14442e-06 0 0 270
273.548 6.13761e-06 0 0 270
274.048 6.13761e-06 0 0 270
274.048 6.1309e-06 0 0 270
274.548 6.1309e-06 0 0 270
274.548 6.12431e-06 0 0 270
275.048 6.12431e-06 0 0 270
275.048 6.11787e-06 0 0 270
275.548 6.11787e-06 0 0 270
275.548 6.1116e-06 0 0 270
276.048 6.1116e-06 0 0 270
276.048 6.10553e-06 0 0 270
276.548 6.10553e-06 0 0 270
276.548 6.09966e-06 0 0 270
277.048 6.09966e-06 0 0 270
277.048 6.09404e-06 0 0 270
277.548 6.09404e-06 0 0 270
277.548 6.08868e-06 0 0 270
278.048 6.08868e-06 0 0 270
278.048 6.0836e-06 0 0 270
278.548 6.0836e-06 0 0 270
278.548 6.07883e-06 0 0 270
279.048 6.07883e-06 0 0 270
279.048 6.07439e-06 0 0 270
279.548 6.07439e-06 0 0 270
279.548 6.0703e-06 0 0 270
280.048 6.0703e-06 0 0 270
280.048 6.06659e-06 0 0 270
280.548 6.06659e-06 0 0 270
280.548 6.06328e-06 0 0 270
281.048 6.06328e-06 0 0 270
281.048 6.0604e-06 0 0 270
281.548 6.0604e-06 0 0 270
281.548 6.05797e-06 0 0 270
282.048 6.05797e-06 0 0 270
282.048 6.05603e-06 0 0 270
282.548 6.05603e-06 0 0 270
282.548 6.05459e-06 0 0 270
283.048 6.05459e-06 0 0 270
283.048 6.05361e-06 0 0 270
283.548 6.05361e-06 0 0 270
283.548 6.05302e-06 0 0 270
284.048 6.05302e-06 0 0 270
284.048 6.05283e-06 0 0 270
284.548 6.05283e-06 0 0 270
284.548 6.05303e-06 0 0 270
285.048 6.05303e-06 0 0 270
285.048 6.05362e-06 0 0 270
285.548 6.05362e-06 0 0 270
285.548 6.05458e-06 0 0 270
286.048 6.05458e-06 0 0 270
286.048 6.05591e-06 0 0 270
286.548 6.05591e-06 0 0 270
286.548 6.05758e-06 0 0 270
287.048 6.05758e-06 0 0 270
287.048 6.05958e-06 0 0 270
287.548 6.05958e-06 0 0 270
287.548 6.06188e-06 0 0 270
288.048 6.06188e-06 0 0 270
288.048 6.06446e-06 0 0 270
288.548 6.06446e-06 0 0 270
288.548 6.06729e-06 0 0 270
289.048 6.06729e-06 0 0 270
289.048 6.07032e-06 0 0 270
289.548 6.07032e-06 0 0 270
289.548 6.07352e-06 0 0 270
290.048 6.07352e-06 0 0 270
290.048 6.07684e-06 0 0 270
290.548 6.07684e-06 0 0 270
290.548 6.08023e-06 0 0 270
291.048 6.08023e-06 0 0 270
291.048 6.08364e-06 0 0 270
291.548 6.08364e-06 0 0 270
291.548 6.08703e-06 0 0 270
292.048 6.08703e-06 0 0 270
292.048 6.09033e-06 0 0 270
292.548 6.09033e-06 0 0 270
292.548 6.09352e-06 0 0 270
293.048 6.09352e-06 0 0 270
293.048 6.0966e-06 0 0 270
293.548 6.0966e-06 0 0 270
293.548 6.0996e-06 0 0 270
294.048 6.0996e-06 0 0 270
294.048 6.10253e-06 0 0 270
294.548 6.10253e-06 0 0 270
294.548 6.10539e-06 0 0 270
295.048 6.10539e-06 0 0 270
295.048 6.1082e-06 0 0 270
295.548 6.1082e-06 0 0 270
295.548 6.11097e-06 0 0 270
296.048 6.11097e-06 0 0 270
296.048 6.11371e-06 0 0 270
296.548 6.11371e-06 0 0 270
296.548 6.11643e-06 0 0 270
297.048 6.11643e-06 0 0 270
297.048 6.11914e-06 0 0 270
297.548 6.11914e-06 0 0 270
297.548 6.12185e-06 0 0 270
298.048 6.12185e-06 0 0 270
298.048 6.12456e-06 0 0 270
298.548 6.12456e-06 0 0 270
298.548 6.12728e-06 0 0 270
299.048 6.12728e-06 0 0 270
299.048 6.13003e-06 0 0 270
299.548 6.13003e-06 0 0 270
299.548 6.13279e-06 0 0 270
300.048 6.13279e-06 0 0 270
300.048 6.13558e-06 0 0 270
300.548 6.13558e-06 0 0 270
300.548 6.13841e-06 0 0 270
301.048 6.13841e-06 0 0 270
301.048 6.14128e-06 0 0 270
301.548 6.14128e-06 0 0 270
301.548 6.14418e-06 0 0 270
302.048 6.14418e-06 0 0 270
302.048 6.14713e-06 0 0 270
302.548 6.14713e-06 0 0 270
302.548 6.15012e-06 0 0 270
303.048 6.15012e-06 0 0 270
303.048 6.15316e-06 0 0 270
303.548 6.15316e-06 0 0 270
303.548 6.15625e-06 0 0 270
304.048 6.15625e-06 0 0 270
304.048 6.15938e-06 0 0 270
304.548 6.15938e-06 0 0 270
304.548 6.16256e-06 0 0 270
305.048 6.16256e-06 0 0 270
305.048 6.16579e-06 0 0 270
305.548 6.16579e-06 0 0 270
305.548 6.16906e-06 0 0 270
306.048 6.16906e-06 0 0 270
306.048 6.17238e-06 0 0 270
306.548 6.17238e-06 0 0 270
306.548 6.17573e-06 0 0 270
307.048 6.17573e-06 0 0 270
307.048 6.17912e-06 0 0 270
307.548 6.17912e-06 0 0 270
307.548 6.18255e-06 0 0 270
308.048 6.18255e-06 0 0 270
308.048 6.18601e-06 0 0 270
308.548 6.18601e-06 0 0 270
308.548 6.18949e-06 0 0 270
309.048 6.18949e-06 0 0 270
309.048 6.19299e-06 0 0 270
309.548 6.19299e-06 0 0 270
309.548 6.19651e-06 0 0 270
310.048 6.19651e-06 0 0 270
310.048 6.20003e-06 0 0 270
310.548 6.20003e-06 0 0 270
310.548 6.20357e-06 0 0 270
311.048 6.20357e-06 0 0 270
311.048 6.2071e-06 0 0 270
311.548 6.2071e-06 0 0 270
311.548 6.21062e-06 0 0 270
312.048 6.21062e-06 0 0 270
312.048 6.21413e-06 0 0 270
312.548 6.21413e-06 0 0 270
312.548 6.21761e-06 0 0 270
313.048 6.21761e-06 0 0 270
313.048 6.22107e-06 0 0 270
313.548 6.22107e-06 0 0 270
313.548 6.22449e-06 0 0 270
314.048 6.22449e-06 0 0 270
314.048 6.22787e-06 0 0 270
314.548 6.22787e-06 0 0 270
314.548 6.2312e-06 0 0 270
315.048 6.2312e-06 0 0 270
315.048 6.23447e-06 0 0 270
315.548 6.23447e-06 0 0 270
315.548 6.23768e-06 0 0 270
316.048 6.23768e-06 0 0 270
316.048 6.24081e-06 0 0 270
316.548 6.24081e-06 0 0 270
316.548 6.24387e-06 0 0 270
317.048 6.24387e-06 0 0 270
317.048 6.24685e-06 0 0 270
317.548 6.24685e-06 0 0 270
317.548 6.24974e-06 0 0 270
318.048 6.24974e-06 0 0 270
318.048 6.25251e-06 0 0 270
318.548 6.25251e-06 0 0 270
318.548 6.25518e-06 0 0 270
319.048 6.25518e-06 0 0 270
319.048 6.25772e-06 0 0 270
319.548 6.25772e-06 0 0 270
319.548 6.26014e-06 0 0 270
320.048 6.26014e-06 0 0 270
320.048 6.26243e-06 0 0 270
320.548 6.26243e-06 0 0 270
320.548 6.26458e-06 0 0 270
321.048 6.26458e-06 0 0 270
321.048 6.2666e-06 0 0 270
321.548 6.2666e-06 0 0 270
321.548 6.26849e-06 0 0 270
322.048 6.26849e-06 0 0 270
322.048 6.27023e-06 0 0 270
322.548 6.27023e-06 0 0 270
322.548 6.27184e-06 0 0 270
323.048 6.27184e-06 0 0 270
323.048 6.27331e-06 0 0 270
323.548 6.27331e-06 0 0 270
323.548 6.27464e-06 0 0 270
324.048 6.27464e-06 0 0 270
324.048 6.27583e-06 0 0 270
324.548 6.27583e-06 0 0 270
324.548 6.27688e-06 0 0 270
325.048 6.27688e-06 0 0 270
325.048 6.27779e-06 0 0 270
325.548 6.27779e-06 0 0 270
325.548 6.27855e-06 0 0 270
326.048 6.27855e-06 0 0 270
326.048 6.27917e-06 0 0 270
326.548 6.27917e-06 0 0 270
326.548 6.27965e-06 0 0 270
327.048 6.27965e-06 0 0 270
327.048 6.27997e-06 0 0 270
327.548 6.27997e-06 0 0 270
327.548 6.28016e-06 0 0 270
328.048 6.28016e-06 0 0 270
328.048 6.28019e-06 0 0 270
328.548 6.28019e-06 0 0 270
328.548 6.28007e-06 0 0 270
329.048 6.28007e-06 0 0 270
329.048 6.28e-06 0 0 270
329.548 6.28e-06 0 0 270
329.548 6.28e-06 0 0 270
330.048 6.28e-06 0 0 270
330.048 6.28e-06 0 0 270
330.548 6.28e-06 0 0 270
330.548 6.28e-06 0 0 270
331.048 6.28e-06 0 0 270
331.048 6.28e-06 0 0 270
331.548 6.28e-06 0 0 270
331.548 6.28e-06 0 0 270
332.048 6.28e-06 0 0 270
332.048 6.28e-06 0 0 270
332.548 6.28e-06 0 0 270
332.548 6.28e-06 0 0 270
333.048 6.28e-06 0 0 270
333.048 6.28e-06 0 0 270
333.548 6.28e-06 0 0 270
333.548 6.28e-06 0 0 270
334.048 6.28e-06 0 0 270
334.048 6.28e-06 0 0 270
334.548 6.28e-06 0 0 270
334.548 6.28e-06 0 0 270
335.048 6.28e-06 0 0 270
335.048 6.28e-06 0 0 270
335.548 6.28e-06 0 0 270
335.548 6.28e-06 0 0 270
336.048 6.28e-06 0 0 270
336.048 6.28e-06 0 0 270
336.548 6.28e-06 0 0 270
336.548 6.28e-06 0 0 270
337.048 6.28e-06 0 0 270
337.048 6.28e-06 0 0 270
337.548 6.28e-06 0 0 270
337.548 6.28e-06 0 0 270
338.048 6.28e-06 0 0 270
338.048 6.28e-06 0 0 270
338.548 6.28e-06 0 0 270
338.548 6.28e-06 0 0 270
339.048 6.28e-06 0 0 270
339.048 6.28e-06 0 0 270
339.548 6.28e-06 0 0 270
339.548 6.28e-06 0 0 270
340.048 6.28e-06 0 0 270
340.048 6.28e-06 0 0 270
340.548 6.28e-06 0 0 270
